"instruction","input","output"
"Mô tả bìa sách của một câu chuyện lấy bối cảnh trong một thư viện vô tận, nơi mỗi cuốn sách chứa một thế giới khác nhau.","Xanh cổ điển kết hợp ánh vàng ấm áp, phong cách trang nhã nhưng huyền bí","Một thư viện rộng lớn với những giá sách cao đến vô tận, một quyển sách mở ra phát sáng rực rỡ, bên trong là hình ảnh một thế giới hoàn toàn khác đang sống động hiện lên."
"Hãy sáng tạo bìa sách cho câu chuyện về một phi hành gia bị mắc kẹt trong một vòng lặp thời gian ngoài không gian.","","Một con tàu vũ trụ đang đối diện chính nó trôi nổi giữa các vì sao, mỗi phiên bản của nó ở một tư thế khác nhau, tạo cảm giác thời gian bị gãy khúc."
"Tạo một bìa sách miêu tả về một thế giới nơi âm nhạc có thể thay đổi thực tại.","Sắc vàng ấm áp pha xanh lam nhẹ nhàng, phong cách nghệ thuật sáng tạo","Một cây đàn piano với những phím bấm phát sáng, mỗi lần nhấn một phím, không gian xung quanh lại thay đổi—từ bầu trời đêm đến rừng hoa nở rộ."
"Hãy nghĩ ra một bìa sách thể hiện sự giao thoa giữa hai thế giới—một thế giới thực và một thế giới hư ảo.","Màu bạc sáng lấp lánh đối lập với đen sâu thẳm, phong cách tương phản mạnh mẽ","Một con đường tách đôi: một bên là thành phố hiện đại với xe cộ tấp nập, một bên là cánh đồng mờ ảo nơi con người trôi nổi như linh hồn. Ở giữa là một nhân vật đứng lặng lẽ, nửa người thuộc về mỗi thế giới."
"Mô tả một bìa sách về câu chuyện của một họa sĩ có thể vẽ nên những bức tranh sống động đến mức bước vào trong chúng.","Màu nước xanh biển nhẹ nhàng hòa cùng ánh đỏ rực rỡ, phong cách hội họa ấn tượng","Một căn phòng trống không, góc căn phòng là một khung tranh đang dần lan rộng ra ngoài đời thực. Một chú chim được vẽ đang tung cánh, một dòng sông bắt đầu chảy ra khỏi khung."
"Hãy tạo một bìa sách cho câu chuyện về một vương quốc nơi thời gian không còn tồn tại.","Màu xanh lam bí ẩn pha chút ánh bạc của mặt trăng, phong cách siêu thực và huyền bí","Một chiếc đồng hồ khổng lồ vỡ vụn, những mảnh vụn trôi lơ lửng giữa không gian. Ở trung tâm là một chiếc chìa khóa phát sáng lơ lửng, đứng giữa ranh giới thực tại và vô định."
"Tưởng tượng một bìa sách dành cho tiểu thuyết kinh dị lấy bối cảnh một thị trấn bị nguyền rủa.","Sắc đỏ sẫm như máu hòa cùng đen tối tăm, phong cách ma mị ám ảnh","Một thị trấn chìm trong sương mù, những bóng đen ẩn hiện trong khung cửa sổ của các căn nhà bỏ hoang. Trên nền trời, một vầng trăng đỏ rực phản chiếu gương mặt của một thực thể vô danh."
"Hãy thiết kế bìa sách cho một câu chuyện về một nhà khoa học tìm ra cánh cổng dẫn đến vũ trụ song song.","","Một cánh cổng phát sáng hình xoắn ốc, ở hai đầu là hai phiên bản khác nhau của cùng một không gian—một là trong phòng thí nghiệm, một đang trôi lơ lửng giữa những hành tinh xa lạ."
"Miêu tả bìa sách cho một câu chuyện lấy bối cảnh trong tương lai, nơi con người có thể sống hàng ngàn năm bằng cách chuyển ý thức vào cơ thể nhân tạo.","Ánh bạc kim loại kết hợp sắc xanh lạnh lẽo, phong cách khoa học viễn tưởng đậm nét","Một cái cây phát triển hơn nửa là máy móc, trong đôi mắt phản chiếu những ký ức của hàng thế kỷ. Phía sau là một thành phố tương lai với những tòa nhà lơ lửng trên không."
"Hãy sáng tạo một bìa sách cho tiểu thuyết lãng mạn nhưng lấy bối cảnh chiến tranh giữa các thiên hà.","Màu xanh đen của vũ trụ kết hợp ánh vàng ấm áp, phong cách lãng mạn đậm chất điện ảnh","Hai bầu trời cùng đối diện nhau của hai phe đối lập. Giữa họ là một thiên hà xoáy tròn, phản chiếu những khoảnh khắc hạnh phúc nhưng bị chia cắt bởi chiến tranh."
"Tạo ra một bìa sách thể hiện cuộc hành trình tìm kiếm cội nguồn của loài người trên một hành tinh xa lạ.","Màu đất nung trầm ấm kết hợp sắc xanh lục bảo, phong cách phiêu lưu huyền bí","Một hành tinh kỳ lạ với những cánh rừng khổng lồ, ở trung tâm là một kim tự tháp cổ đại phát sáng. Một nhóm thám hiểm đang tiến gần, ánh mắt tràn đầy sự tò mò về nguồn gốc của chính mình."
"Hãy mô tả bìa sách cho một câu chuyện xoay quanh một hội kín chuyên kiểm soát dòng chảy lịch sử.","","Một quả cầu đặt trên một cuốn sách khổng lồ, trang sách mở ra hiện lên những khoảnh khắc lịch sử quan trọng. Phía xa là những chiếc bóng đeo mặt nạ, quan sát trong im lặng."
"Hãy thiết kế bìa sách cho câu chuyện kể về một hòn đảo chỉ xuất hiện mỗi 100 năm một lần.","Xanh ngọc bích của biển sâu hòa với sắc vàng nhạt của bình minh, phong cách huyền thoại viễn tưởng","Một con tàu nhỏ trôi trên mặt biển phẳng lặng, trước mặt là một hòn đảo lơ lửng trong sương mù. Trên bờ biển, những tòa nhà kỳ lạ ánh lên ánh sáng dịu nhẹ"
"Miêu tả bìa sách về một thế giới nơi mỗi người đều sở hữu một con thú hộ mệnh gắn liền với tâm hồn họ.","Sắc xanh lục nhẹ nhàng kết hợp ánh tím thần bí, phong cách ma thuật kỳ ảo","Một người máy đứng trên một cánh đồng hoa dại, bên cạnh là một con hổ trong suốt, phản chiếu tâm trạng của cậu. Trên bầu trời, những linh thú khác đang bay lượn như thể là một phần của tự nhiên."
"Hãy tạo ra một bìa sách thể hiện câu chuyện về một kẻ lang thang bất tử, đi qua mọi thời đại để tìm kiếm ý nghĩa của sự tồn tại.","Đen huyền bí hòa cùng vàng ánh kim, phong cách cổ điển pha hiện đại","Một con đường dài, trải đi giữa hai bức tường—một bên là thế giới cổ đại với xe ngựa và lâu đài, một bên là thành phố hiện đại với ánh đèn neon rực rỡ."
"Hãy mô tả một bìa sách nói về cuộc chiến tranh giữa các vị thần cổ đại và con người.","","Một thanh kiếm cắm trên đỉnh núi, phía trên là hình bóng khổng lồ của một vị thần, sấm chớp giáng xuống"
"Hãy vẽ nên một bìa sách cho câu chuyện về một thế giới nơi mỗi giấc mơ đều trở thành hiện thực.","Màu xanh lam mộng mơ hòa với ánh bạc nhẹ nhàng, phong cách huyền ảo","Một cánh cửa mở ra giữa không trung, bên trong là hàng triệu mảnh ký ức phát sáng—một chiếc đồng hồ tan chảy, một con mèo có cánh, một tòa lâu đài bay lơ lửng"
"Thiết kế bìa sách cho một câu chuyện kể về một phù thủy hiện đại điều khiển phép thuật bằng công nghệ.","Xanh neon kết hợp ánh tím huyền bí, phong cách cyberpunk kỳ ảo","Một con robot đứng giữa một thành phố rực rỡ đèn LED, trong tay là một chiếc tablet hiển thị những ký hiệu ma thuật phát sáng. Xung quanh nó, những sinh vật kỳ dị bằng năng lượng bay lượn theo lệnh."
"Hãy mô tả bìa sách cho câu chuyện về một kẻ đánh cắp ký ức của người khác để tạo ra cuộc đời mới cho chính mình.","Đỏ sẫm bí ẩn xen lẫn ánh xanh lam lạnh lẽo, phong cách tâm lý giật gân","Một đôi mắt trống rỗng hiện lên giữa hàng trăm tấm gương, mỗi tấm phản chiếu một dòng thời không khác nhau —một thành phố, một thung lũng, một sa mạc. Những mảnh ký ức vỡ vụn rơi xuống nền đất."
"Hãy sáng tạo bìa sách cho tiểu thuyết kể về một thế giới nơi con người có thể hoán đổi cơ thể với nhau.","Ánh bạc kim loại kết hợp xanh lá kỳ lạ, phong cách khoa học viễn tưởng táo bạo","Hai bộ giáp đối diện nhau, trên đầu là một luồng sáng năng lượng kết nối, cả hai mờ dần như thể họ đang đổi chỗ. Phía sau là một phòng thí nghiệm hiện đại, đầy màn hình hiển thị dữ liệu sinh học."
"Hãy miêu tả bìa sách của một câu chuyện kể về một con tàu không gian bị mất tích, đột nhiên xuất hiện trở lại sau 100 năm.","Màu xám tối huyền bí pha chút xanh tím, phong cách rùng rợn đầy bí ẩn","Một con tàu cũ kỹ trôi giữa vũ trụ, bề mặt phủ đầy rêu mốc dù không gian vốn không có sự sống. Cửa tàu hé mở, một bóng đen lặng lẽ bước ra, đôi mắt phát sáng."
"Thiết kế bìa sách thể hiện câu chuyện về một ngôi làng nơi tất cả cư dân đều có đôi mắt phát sáng vào ban đêm.","","Một con đường nhỏ xuyên qua khu rừng, hai bên là những căn nhà gỗ tối om, chỉ có những đôi mắt sáng rực đang dõi theo cái bóng đen."
"Mô tả bìa sách cho câu chuyện về một hòn đảo nơi mỗi đứa trẻ sinh ra đều có một năng lực siêu nhiên duy nhất.","Sắc xanh lá tươi sáng hòa với ánh vàng ấm áp, phong cách phiêu lưu kỳ ảo","Một nhóm người đứng trên vách đá nhìn xuống bờ biển, cả khu vực phát sáng như mặt trời. Nước biển bốc lên thành những hình thù kỳ dị."
"Tạo bìa sách cho tiểu thuyết trinh thám về một tên sát nhân chỉ để lại dấu vết dưới dạng những vệt màu sơn.","Đen huyền bí kết hợp đỏ rượu vang, phong cách noir cổ điển","Một bức tường trắng với những vệt sơn rực rỡ, nhưng nếu nhìn kỹ, chúng tạo thành một khuôn mặt méo mó đầy kinh dị"
"Hãy thiết kế bìa sách về cuộc phiêu lưu của một người có thể giao tiếp với những linh hồn bị mắc kẹt giữa các chiều không gian.","","Một con đường lát đá chìm trong sương mù, ở giữa là một nhân vật khoác áo dài, xung quanh là những bóng ma mờ nhạt."
"Miêu tả bìa sách cho câu chuyện kể về một nghệ nhân chế tác đồng hồ, nhưng mỗi chiếc đồng hồ ông làm ra đều có khả năng thay đổi dòng thời gian.","Tông nâu đồng cổ điển kết hợp ánh vàng kim sang trọng, phong cách steampunk đầy mê hoặc","Một chiếc đồng hồ bỏ túi, trên mặt đồng hồ không phải là kim giờ mà là những cảnh tượng lịch sử khác nhau đang xoay tròn như một bộ phim tua ngược."
"Tưởng tượng bìa sách cho tiểu thuyết kể về một nhóm người sống sót trong một thế giới nơi mặt trời không bao giờ mọc nữa.","Xám tro lạnh lẽo kết hợp ánh tím u ám, phong cách hậu tận thế đầy tuyệt vọng","Một thành phố đổ nát dưới bầu trời tối đen vĩnh viễn, xung quanh là những con đường phủ đầy tuyết đen."
"Hãy tạo một bìa sách thể hiện câu chuyện về một thế giới nơi mỗi con người đều có một sợi dây liên kết vô hình với định mệnh của mình.","","Một cánh đồng hoa, trên không trung là hàng ngàn sợi dây phát sáng. Có một sợi dây màu đỏ rực giữa đó, kéo dài về một hướng vô định."
"Hãy minh họa bìa sách cho câu chuyện về một thế giới nơi mọi lời nói đều trở thành hiện thực.","Màu tím bí ẩn kết hợp ánh vàng phát sáng, phong cách siêu thực","Một cuốn sách mở ra giữa không trung, từ các trang sách, những lời nói phát sáng tràn ra, biến thành hình ảnh thực tế—núi non, đại dương."
"Thiết kế bìa sách cho một câu chuyện kể về những người có thể du hành vào ký ức của người khác.","Xanh đậm kết hợp ánh bạc lạnh lẽo, phong cách tâm lý huyền bí","Một cánh cửa mở ra giữa một căn phòng tối, bên trong là những ký ức vỡ vụn trôi nổi, phản chiếu hình ảnh của những thời điểm khác nhau trong cuộc đời"
"Hãy phác họa bìa sách cho một tiểu thuyết viễn tưởng về những con rồng máy móc được tạo ra để bảo vệ Trái Đất.","","Một con rồng khổng lồ bằng kim loại đứng trên đỉnh một tòa nhà cao tầng, đôi mắt phát sáng như đèn LED. Trên bầu trời, những tàu chiến đang bay đến, chuẩn bị cho một trận chiến lớn."
"Mô tả bìa sách về một thế giới nơi con người có thể mua bán linh hồn để đổi lấy tuổi thọ.","Đen huyền bí kết hợp ánh vàng kim, phong cách kỳ ảo đầy ám ảnh","Một bàn tay vươn ra từ bóng tối, trao đổi một tấm vé phát sáng. Đằng sau, những linh hồn lơ lửng trong những chiếc lồng kính, mỗi linh hồn phát ra một ánh sáng mờ nhạt."
"Hãy sáng tạo bìa sách thể hiện cuộc chiến giữa hai thế lực: những người muốn bảo vệ quá khứ và những kẻ muốn viết lại lịch sử.","Xanh cổ điển hòa lẫn đỏ rực lửa, phong cách sử thi viễn tưởng","Một cuốn sách khổng lồ đang bị giằng xé bởi hai bàn tay—một bên cầm bút viết thêm vào trang sách, bên kia cầm lưỡi dao cố gắng xé toạc những dòng chữ hiện có. Phía sau họ, thế giới đang thay đổi theo từng dòng chữ."
"Tưởng tượng bìa sách cho câu chuyện kể về một cô gái có thể nhìn thấy những sợi chỉ vô hình liên kết tất cả con người.","Sắc trắng thuần khiết kết hợp xanh dương nhẹ nhàng, phong cách mộng mơ đầy cảm xúc","Một cô gái đứng trên một cây cầu, đôi mắt cô phát sáng khi nhìn thấy hàng ngàn sợi chỉ mỏng manh kéo dài giữa những con người đi ngang qua nhau mà không hề nhận ra."
"Mô tả bìa sách cho câu chuyện về một nhà khoa học tìm cách lưu trữ ký ức của con người vào những viên đá.","Xám lạnh lẽo kết hợp ánh xanh phát quang, phong cách công nghệ bí ẩn","Một phòng thí nghiệm tối tăm, hàng trăm viên đá phát sáng được đặt trên bàn, mỗi viên phản chiếu một khuôn mặt khác nhau."
"Thiết kế bìa sách cho một câu chuyện về những chiến binh bóng tối có thể hòa mình vào màn đêm để trở thành vô hình.","","Một cái bóng đứng giữa một con phố vắng vẻ, nó dần dần biến mất vào bóng tối, chỉ còn lại đôi mắt sáng rực đầy sát khí."
"Hãy minh họa bìa sách cho một cuốn tiểu thuyết kể về một thế giới nơi các vì sao thực chất là những linh hồn của tổ tiên.","","Một cái cây đứng trên đỉnh một ngọn núi, vươn nhánh lên trời. Những ngôi sao dần hiện ra thành hình những kí tự cổ xưa."
"Mô tả bìa sách cho một câu chuyện về một người có thể ""nghe"" được suy nghĩ của những bức tranh cổ.","Sắc nâu gỗ cổ kính kết hợp ánh vàng trang nhã, phong cách nghệ thuật đầy huyền bí","Một khối cầu bay lơ lửng trong một phòng trưng bày nghệ thuật, xung quanh nó, những bức tranh đang thì thầm."
"Hãy tạo bìa sách cho một tiểu thuyết kể về một nhà phát minh vô tình chế tạo ra cỗ máy có thể tạo ra những bản sao hoàn hảo của con người.","Màu bạc kim loại xen lẫn ánh xanh dương khoa học, phong cách công nghệ tương lai","Một căn phòng thí nghiệm với hàng trăm chiếc kén thủy tinh, bên trong là những phiên bản giống hệt nhau của một con người"
"Thiết kế bìa sách cho một câu chuyện kể về một thế giới nơi con người không còn sử dụng ngôn ngữ mà giao tiếp bằng hình ảnh xuất hiện trên làn da.","Xanh lam kết hợp tím neon, phong cách nghệ thuật viễn tưởng","Một cô gái đứng giữa đám đông, trên cánh tay cô là những hình ảnh phát sáng—một trái tim, một con chim đang bay, một dòng sông uốn lượn—trong khi những người xung quanh cũng để lộ những biểu tượng của riêng họ, tạo thành một cuộc hội thoại không lời."
"Hãy tạo bìa sách cho một câu chuyện kể về những người có thể bước qua những chiếc gương để đến một thế giới song song.","Màu bạc ánh kim xen lẫn xanh đậm, phong cách huyền bí ma mị","Một căn phòng chỉ có một chiếc gương lớn đặt giữa. Nhìn từ góc độ bình thường, gương phản chiếu hình ảnh căn phòng bình thường, nhưng ở một góc khác, hình ảnh phản chiếu lại là một phiên bản hoàn toàn khác với sự hoang tàn ghê rợn."
"Thiết kế bìa sách thể hiện cuộc phiêu lưu của một người có thể nhìn thấy tương lai nhưng không thể thay đổi nó.","Xanh thẫm lạnh lẽo kết hợp vàng kim ấm áp, phong cách tâm lý siêu thực","Một chiếc xe đứng giữa hai con đường, trên bầu trời là một vòng xoáy ký ức hiện ra những sự kiện chưa xảy ra."
"Hãy vẽ bìa sách cho một câu chuyện kể về một thành phố nơi không ai có bóng.","","Một thành phố hiện đại với những tòa nhà cao chọc trời, trên đường phố, không còn con người đi lại. Trong con hèm, một khối hộp phát sáng."
"Minh họa bìa sách cho một thế giới nơi mọi người có thể tạm thời mượn ký ức của người khác bằng cách chạm vào họ.","Tím hoàng hôn hòa với vàng ấm, phong cách huyền bí siêu thực","Một bàn tay vươn ra, chạm nhẹ vào trán một người khác. Từ điểm chạm, những vết nứt mờ ảo lan ra"
"Hãy thiết kế bìa sách cho một câu chuyện về một thư viện kỳ lạ, nơi mỗi cuốn sách chứa một linh hồn bị lãng quên.","","Một thư viện rộng lớn với những kệ sách kéo dài vô tận"
"Tạo bìa sách cho một cuốn tiểu thuyết về một vương quốc nơi giấc mơ được sử dụng như đơn vị tiền tệ.","","Một thị trấn rực rỡ ánh đèn, trên không trung là những bong bóng trong suốt chứa đựng những giấc mơ đủ màu sắc"
"Hãy mô tả bìa sách cho một câu chuyện về một người có khả năng biến những câu chuyện cổ tích thành hiện thực.","Đỏ đậm kết hợp xanh cổ tích, phong cách fantasy cổ điển","Một quyển sách khổng lồ đang mở ra, từ những trang sách, một tòa lâu đài xuất hiện, rồng bay lượn trên bầu trời."
"Minh họa bìa sách về một hành tinh nơi âm nhạc là ngôn ngữ duy nhất mà con người có thể sử dụng để giao tiếp.","Xanh biển pha tím đậm, phong cách nghệ thuật siêu thực","Một thành phố rực rỡ với những tòa nhà hình nốt nhạc, trên bầu trời là những dòng giai điệu phát sáng uốn lượn. Ở trung tâm, một nhân vật đang cất giọng hát, từng lời ca tạo ra những đường sóng ánh sáng lan rộng."
"Hãy phác họa bìa sách thể hiện cuộc chiến giữa những người bảo vệ thiên nhiên và những kẻ muốn khai thác phép thuật từ rừng sâu.","Xanh lá tươi sáng kết hợp ánh vàng rừng rậm, phong cách thiên nhiên kỳ bí","Một khu rừng rộng lớn với những cây cổ thụ có ánh sáng phát ra từ thân cây."
"Thiết kế bìa sách về một thành phố nổi trên bầu trời, nơi mỗi tòa nhà được xây dựng trên lưng những con chim khổng lồ.","Xanh trời kết hợp trắng bạc, phong cách phiêu lưu huyền bí","Những con chim khổng lồ với đôi cánh trải dài nâng đỡ các tòa nhà lơ lửng. Một cây cầu trên không nối giữa hai khu vực, phía dưới là đại dương mây vô tận."
"Hãy tưởng tượng bìa sách cho một tiểu thuyết nói về một hòn đảo nơi mặt trăng luôn tỏa sáng rực rỡ như mặt trời.","","Một hòn đảo giữa đại dương rộng lớn, bầu trời phía trên không có mặt trời nhưng mặt trăng tỏa sáng mạnh mẽ đến mức đổ bóng sắc nét xuống mặt đất."
"Minh họa bìa sách về một nhà thám hiểm phát hiện ra một ngôi đền bị phong ấn, nơi chứa đựng những bí mật của nền văn minh đã biến mất.","","Một cánh cửa đá khổng lồ được khắc đầy ký tự cổ xưa. Một luồng sáng xanh mờ ảo len qua khe cửa"
"Hãy tạo bìa sách cho một câu chuyện kể về một thị trấn nơi thời gian trôi với tốc độ khác nhau ở từng khu vực.","Vàng đồng cổ kết hợp xanh đậm, phong cách viễn tưởng thời gian","Một thị trấn chia làm nhiều khu vực, mỗi nơi có đồng hồ riêng. Ở trung tâm là một tháp đồng hồ khổng lồ với những bánh răng xoay theo nhịp điệu khác nhau."
"Hãy tạo bìa sách cho một câu chuyện kể về một con tàu du hành qua các chiều không gian khác nhau mỗi khi nó đi qua một cánh cổng ánh sáng.","Xanh dương đậm kết hợp ánh tím huyền bí, phong cách khoa học viễn tưởng","Một con tàu khổng lồ đang lao qua một cánh cổng hình vòng tròn phát sáng, phía sau nó, không gian bị bóp méo như thể các thế giới khác nhau đang xếp chồng lên nhau."
"Hãy thiết kế hình ảnh thể hiện một thế giới nơi con người không thể nói, chỉ có thể giao tiếp bằng suy nghĩ.","Bạc ánh sáng lạnh kết hợp xanh lam trong suốt, phong cách siêu thực","Một thành phố rộng lớn, những sợi ánh sáng mềm mại nối kết từ nơi này qua nơi khác, tạo thành mạng lưới phức tạp."
"Minh họa bìa sách về một vùng đất nơi con người có thể ""vẽ"" tương lai của họ bằng bút lông ma thuật.","Đỏ tía mạnh mẽ kết hợp xanh lá mộng mơ, phong cách huyền thoại","Một cây bút lông cổ xưa, mỗi nét vẽ trên không trung đều hóa thành thực tại—một con đường dài mở ra, một tòa lâu đài mọc lên từ hư không"
"Hãy tưởng tượng bìa sách cho một câu chuyện kể về một thư viện nơi mọi cuốn sách đều là một cánh cổng dẫn đến một thế giới khác.","Vàng đồng cổ kính kết hợp nâu gỗ, phong cách huyền bí","Một căn phòng đầy những kệ sách cao chót vót"
"Hãy thiết kế hình ảnh bìa sách thể hiện cuộc chiến giữa hai vương quốc—một bên điều khiển mặt trời, một bên cai trị màn đêm.","Vàng rực lửa kết hợp xanh đen huyền bí, phong cách fantasy chiến tranh","Hai chiến binh đứng đối diện nhau trên một chiến trường rộng lớn. Một bên khoác áo choàng rực rỡ, thanh kiếm tỏa ánh sáng như mặt trời; bên còn lại mặc giáp đen, tay cầm cây trượng phát ra bóng tối sâu thẳm. Giữa họ, đường chân trời bị chia đôi: nửa kia là ban ngày, nửa còn lại là màn đêm."
"Minh họa bìa sách về một hòn đảo bí ẩn nơi mỗi đêm những bức tượng trên đảo sống dậy và kể chuyện về quá khứ.","","Một bãi biển phủ đầy sương, hàng loạt bức tượng đứng bất động, đôi mắt họ phát sáng xanh lục."
"Hãy phác họa bìa sách thể hiện một thế giới nơi mọi người có thể thay đổi quá khứ bằng cách viết lại nhật ký của mình.","Xanh lam dịu dàng hòa cùng trắng tinh khiết, phong cách siêu thực","Một quyển sổ tay nằm trên mặt bàn, từng dòng chữ trên trang giấy chạy loạn"
"Thiết kế bìa sách cho một cuốn tiểu thuyết về một dòng sông chảy ngược, nơi những linh hồn lạc lối tìm về quá khứ của mình.","","Một con sông uốn lượn giữa núi non, dòng nước chảy ngược về nguồn."
"Hãy minh họa bìa sách cho một tiểu thuyết kể về một căn nhà bị nguyền rủa, nơi thời gian bên trong trôi nhanh hơn thế giới bên ngoài.","","Một căn nhà cũ kỹ nằm giữa cánh đồng hoang vắng.Trên tường là những chiếc đồng hồ đang quay loạn xạ, không cái nào chỉ cùng một giờ."
"Hãy thiết kế hình ảnh cho một câu chuyện về một người có thể đánh cắp ký ức của người khác bằng cách chạm vào họ.","Tím hoàng hôn kết hợp bạc lạnh lẽo, phong cách huyền bí","Trong bóng tối, bàn tay nhẹ nhàng chạm vào một bảng điện tử. Dòng ánh sáng trắng đục chảy sang bàn tay anh ta."
"Hãy tạo bìa sách cho một câu chuyện kể về một thế giới nơi các linh hồn sống trong những hạt pha lê và có thể được nhìn thấy khi ánh sáng chiếu qua.","Xanh ngọc trong suốt kết hợp vàng kim, phong cách viễn tưởng ma thuật","Một bàn tay cầm một viên pha lê nhỏ, khi ánh sáng xuyên qua, có hình ảnh hiện lên. Phía sau, hàng ngàn viên pha lê lơ lửng trong không trung."
"Hãy minh họa bìa sách cho một câu chuyện về một thành phố nơi mỗi người có một chiếc đồng hồ đếm ngược thời gian sống trên cổ tay.","Đen huyền bí pha đỏ rực, phong cách tương lai bí ẩn","Một thành phố với ánh đèn neon rực rỡ. Một chiếc đồng hồ kỹ thuật số chỉ còn lại 00:05:32. Xung quanh, mọi người đều có đồng hồ riêng, một số hiển thị hàng chục năm, một số chỉ còn vài giây."
"Hãy tạo hình ảnh thể hiện một khu rừng nơi cây cối không ngừng di chuyển mỗi khi không ai nhìn thấy chúng.","Xanh rừng sâu kết hợp tím huyền ảo, phong cách ma thuật tự nhiên","Một khu rừng dày đặc, nhưng khi nhìn kỹ, vị trí của cây cối dường như thay đổi một cách không tự nhiên."
"Hãy vẽ bìa sách cho một câu chuyện kể về một thành phố nổi trên mây, nơi chỉ những người có đôi mắt phát sáng mới được phép bước vào.","Xanh dương nhạt hòa cùng bạc ánh kim, phong cách fantasy kỳ bí","Một thành phố tráng lệ lơ lửng giữa bầu trời, những cây cầu thủy tinh kết nối các tòa tháp trôi nổi."
"Thiết kế bìa sách cho một tiểu thuyết về một người có thể nhìn thấy màu sắc của cảm xúc mỗi khi chạm vào ai đó.","","Một bàn tay chạm vào vai một người khác, và xung quanh cơ thể họ, màu sắc rực rỡ tỏa ra—đỏ của giận dữ, xanh của buồn bã, vàng của hạnh phúc. Nhân vật chính đứng giữa đám đông, nhìn thấy thế giới với những sắc thái mà không ai khác có thể thấy."
"Minh họa bìa sách về một ngôi làng bị nguyền rủa, nơi mỗi đêm, tất cả cư dân biến mất và chỉ quay lại vào lúc bình minh.","Xám tro lạnh kết hợp ánh trắng mờ, phong cách kinh dị cổ điển","Một ngôi làng nhỏ giữa rừng sâu, không một bóng người, nhưng quần áo và vật dụng vẫn nằm nguyên như thể họ chỉ vừa rời đi. Xa xa, một ngọn đèn mờ ảo lập lòe"
"Hãy thiết kế hình ảnh về một thế giới nơi con người sống trên lưng những sinh vật khổng lồ di chuyển liên tục.","","Một thành phố nằm trên lưng một sinh vật khổng lồ, những tòa nhà uốn theo đường cong của cơ thể nó."
"Hãy tạo bìa sách cho một câu chuyện kể về một thư viện bị lãng quên, nơi mỗi trang sách chứa một lời nguyền khác nhau.","","Một thư viện khổng lồ với giá sách chạm trần. Các ký tự từ trang giấy đang trôi nổi lên không trung, phát sáng trong bóng tối."
"Minh họa bìa sách về một thị trấn nơi những cơn gió có thể thì thầm bí mật của quá khứ.","Xanh da trời nhẹ kết hợp trắng sương, phong cách thơ mộng","Một con đường vắng vẻ, từng làn gió nhẹ thổi qua, cuốn theo những mảnh ký ức mờ ảo—hình ảnh của những câu chuyện cũ, những lời chưa kịp nói thành lời."
"Thiết kế bìa sách cho một câu chuyện về một người họa sĩ có thể vẽ ra tương lai bằng cây cọ đặc biệt của mình.","Vàng nghệ thuật hòa cùng xanh nước biển, phong cách siêu thực","Một người họa sĩ đứng trước giá vẽ, trên tấm canvas, hình ảnh một tòa thành đang dần xuất hiện, nhưng điều kỳ lạ là tòa thành này cũng đang hình thành ngoài đời thực theo từng nét vẽ."
"Minh họa bìa sách về một hành tinh nơi không có đêm tối, mặt trời không bao giờ lặn.","Cam chói chang kết hợp trắng sáng, phong cách viễn tưởng","Một thế giới tràn ngập ánh sáng, những tòa nhà được xây dựng để che chắn khỏi ánh nắng vĩnh cửu."
"Hãy tạo bìa sách cho một câu chuyện về một khu chợ chỉ xuất hiện vào đêm trăng tròn, nơi mọi món hàng đều có linh hồn.","Vàng ánh trăng kết hợp tím huyền bí, phong cách kỳ ảo","Một khu chợ đông đúc giữa đêm tối, những món đồ trên gian hàng dường như có ý thức—một chiếc gương phản chiếu cảnh tượng khác với thực tế, một quyển sách tự lật trang, một chiếc đồng hồ thì thầm lời tiên tri"
"Minh họa bìa sách về một thế giới nơi mọi người có thể lưu trữ ký ức vào lọ thủy tinh và trao đổi chúng.","","Một căn phòng đầy những kệ gỗ, trên đó xếp hàng trăm chiếc lọ phát sáng."
"Thiết kế bìa sách cho một câu chuyện về một đoàn lữ hành đi qua các chiều không gian khác nhau để tìm kiếm mảnh ghép của một bản đồ thần thoại.","","Một đoàn người đứng trước một cánh cổng phát sáng, bên kia cánh cổng là một thế giới hoàn toàn khác—có thể là một sa mạc, một khu rừng phát quang, hoặc một vương quốc lơ lửng giữa bầu trời. Trên tay họ là một tấm bản đồ còn thiếu nhiều phần."
"Hãy thiết kế hình ảnh về một thành phố nơi các con đường tự thay đổi vị trí mỗi đêm, khiến người dân luôn phải tìm ra lối đi mới.","Xám bê tông kết hợp xanh neon, phong cách đô thị kỳ bí","Một góc thành phố lúc rạng sáng, những con đường đang tự động di chuyển như những mảnh ghép khổng lồ. Một người đàn ông nhìn chằm chằm vào bản đồ trong tay, nơi các con đường liên tục thay đổi như thể chúng có ý chí riêng."
"Hãy tạo bìa sách cho một câu chuyện về một con tàu du hành vượt thời gian, nhưng mỗi lần nhảy, một phần của con tàu bị mất đi mãi mãi.","Đỏ tía tối kết hợp bạc kim loại, phong cách khoa học viễn tưởng","Một con tàu không gian bị tàn phá trôi nổi giữa một cơn lốc xoáy thời gian. Một cánh cửa mở ra, lộ ra khoảng không vô tận bên ngoài. Xa xa, bóng dáng một phần khác của con tàu đã mất tích vĩnh viễn trong quá khứ."
